Date,Open,High,Low,Close,Volume,Stock
2024-01-09 00:00:00-05:00,369.99,373.95,369.17,373.75,20830000,MSFT
2024-01-10 00:00:00-05:00,374.32,382.08,374.27,380.69,25514200,MSFT
2024-01-11 00:00:00-05:00,383.9,388.56,378.31,382.54,27850800,MSFT
2024-01-12 00:00:00-05:00,383.39,386.57,382.56,386.36,21645700,MSFT
2024-01-16 00:00:00-05:00,391.52,391.89,385.51,388.15,27202300,MSFT
2024-01-17 00:00:00-05:00,385.87,387.99,382.72,387.35,22234100,MSFT
2024-01-18 00:00:00-05:00,389.59,391.85,388.0,391.73,23392100,MSFT
2024-01-19 00:00:00-05:00,393.61,396.5,391.36,396.5,29272000,MSFT
2024-01-22 00:00:00-05:00,397.85,398.44,391.45,394.35,27016900,MSFT
2024-01-23 00:00:00-05:00,393.6,397.21,391.79,396.73,20525900,MSFT
2024-01-24 00:00:00-05:00,399.36,403.43,398.27,400.37,24867000,MSFT
2024-01-25 00:00:00-05:00,402.12,404.8,400.34,402.67,21021200,MSFT
2024-01-26 00:00:00-05:00,402.17,403.96,400.24,401.73,17803300,MSFT
2024-01-29 00:00:00-05:00,403.85,407.75,402.13,407.49,24510200,MSFT
2024-01-30 00:00:00-05:00,410.02,410.8,404.24,406.37,33477600,MSFT
2024-01-31 00:00:00-05:00,404.75,413.06,395.05,395.42,47871100,MSFT
2024-02-01 00:00:00-05:00,399.65,405.78,399.62,401.59,30657700,MSFT
2024-02-02 00:00:00-05:00,401.62,410.41,401.37,408.98,28245000,MSFT
2024-02-05 00:00:00-05:00,407.67,408.93,401.79,403.45,25352300,MSFT
2024-02-06 00:00:00-05:00,403.67,405.75,400.72,403.29,18382600,MSFT
2024-02-07 00:00:00-05:00,405.23,412.05,405.19,411.8,22340500,MSFT
2024-02-08 00:00:00-05:00,411.8,413.3,410.29,411.86,21225300,MSFT
2024-02-09 00:00:00-05:00,412.99,418.53,412.83,418.26,22032800,MSFT
2024-02-12 00:00:00-05:00,418.27,418.45,412.5,413.0,21202900,MSFT
2024-02-13 00:00:00-05:00,402.74,407.84,401.2,404.11,27824900,MSFT
2024-02-14 00:00:00-05:00,406.6,408.37,403.11,408.02,20401200,MSFT
2024-02-15 00:00:00-05:00,406.67,407.66,402.84,405.1,21825500,MSFT
2024-02-16 00:00:00-05:00,406.49,406.82,401.99,402.61,22281100,MSFT
2024-02-20 00:00:00-05:00,401.79,403.04,396.58,401.34,24307900,MSFT
2024-02-21 00:00:00-05:00,398.73,400.84,395.79,400.73,18631100,MSFT
2024-02-22 00:00:00-05:00,408.71,411.35,407.1,410.17,27009900,MSFT
2024-02-23 00:00:00-05:00,414.18,414.36,407.5,408.86,16295900,MSFT
2024-02-26 00:00:00-05:00,409.98,410.68,405.89,406.07,16193500,MSFT
2024-02-27 00:00:00-05:00,406.52,406.85,402.4,406.01,14835800,MSFT
2024-02-28 00:00:00-05:00,406.71,407.83,403.86,406.25,13183100,MSFT
2024-02-29 00:00:00-05:00,407.17,412.71,404.46,412.15,31947300,MSFT
2024-03-01 00:00:00-05:00,409.79,414.37,409.4,414.01,17800300,MSFT
2024-03-04 00:00:00-05:00,411.95,415.85,410.84,413.43,17596000,MSFT
2024-03-05 00:00:00-05:00,412.47,412.76,399.2,401.2,26919200,MSFT
2024-03-06 00:00:00-05:00,401.52,403.7,396.96,400.64,22344100,MSFT
2024-03-07 00:00:00-05:00,404.66,408.31,400.79,407.67,18718500,MSFT
2024-03-08 00:00:00-05:00,406.49,408.94,402.88,404.76,17971700,MSFT
2024-03-11 00:00:00-04:00,402.31,404.22,399.82,403.07,16120800,MSFT
2024-03-12 00:00:00-04:00,406.15,414.08,405.33,413.79,22457000,MSFT
2024-03-13 00:00:00-04:00,416.6,416.68,409.97,413.61,17115900,MSFT
2024-03-14 00:00:00-04:00,418.73,426.28,416.49,423.69,34157300,MSFT
2024-03-15 00:00:00-04:00,417.78,421.08,411.31,414.92,45049800,MSFT
2024-03-18 00:00:00-04:00,412.76,419.22,412.29,415.82,20106000,MSFT
2024-03-19 00:00:00-04:00,416.33,420.15,414.06,419.89,19837900,MSFT
2024-03-20 00:00:00-04:00,420.48,424.43,419.15,423.7,17860100,MSFT
2024-03-21 00:00:00-04:00,428.28,429.27,425.62,427.83,21296200,MSFT
2024-03-22 00:00:00-04:00,428.15,428.31,424.54,427.2,17636500,MSFT
2024-03-25 00:00:00-04:00,423.71,425.87,420.09,421.34,18060500,MSFT
2024-03-26 00:00:00-04:00,424.08,424.46,419.83,420.13,16725600,MSFT
2024-03-27 00:00:00-04:00,422.91,422.92,417.5,419.91,16705000,MSFT
2024-03-28 00:00:00-04:00,419.45,420.35,417.61,419.21,21871200,MSFT
2024-04-01 00:00:00-04:00,422.43,426.35,420.7,423.04,16316000,MSFT
2024-04-02 00:00:00-04:00,418.6,420.86,416.34,419.92,17912000,MSFT
2024-04-03 00:00:00-04:00,418.22,421.74,417.58,418.94,16502300,MSFT
2024-04-04 00:00:00-04:00,423.46,427.13,416.07,416.38,19370900,MSFT
2024-04-05 00:00:00-04:00,418.5,424.98,416.82,423.99,16544300,MSFT
2024-04-08 00:00:00-04:00,423.64,425.74,421.78,423.06,14272400,MSFT
2024-04-09 00:00:00-04:00,424.91,426.2,420.1,424.75,12512300,MSFT
2024-04-10 00:00:00-04:00,420.67,422.51,418.19,421.74,16216600,MSFT
2024-04-11 00:00:00-04:00,424.29,427.83,420.84,426.39,17966400,MSFT
2024-04-12 00:00:00-04:00,422.52,423.65,418.26,420.38,19232100,MSFT
2024-04-15 00:00:00-04:00,425.07,425.28,411.94,412.15,20273500,MSFT
2024-04-16 00:00:00-04:00,413.08,416.9,412.24,413.09,16765600,MSFT
2024-04-17 00:00:00-04:00,415.75,417.37,408.85,410.36,15855500,MSFT
2024-04-18 00:00:00-04:00,409.15,410.41,402.5,402.82,21029900,MSFT
2024-04-19 00:00:00-04:00,402.58,404.02,396.34,397.68,30276500,MSFT
2024-04-22 00:00:00-04:00,398.64,401.4,394.33,399.52,20286900,MSFT
2024-04-23 00:00:00-04:00,402.79,406.73,401.61,406.1,15734500,MSFT
